Postcode,Longtitude,Latitude
4428,149.2,-26.4
4454,148.6,-25.6
4455,148.7,-26.7
4461,148.3,-26.7
4462,148.2,-26.5
4465,147.9,-26.3
4467,147.5,-26.2
4468,147,-26.6
4470,145.3,-26.6
4471,145.9,-27.6
4472,145.1,-24.8
4474,144.5,-25.7
4475,145,-26.8
4477,147.1,-25.4
4478,146.4,-24.9
4479,145.4,-26.7
4480,143.3,-26.2
4481,141.6,-25.4
4482,139.3,-25.6
4486,147.8,-28.6
4487,148.4,-27.9
4488,147,-28.1
4489,145.7,-27.3
4490,145.6,-28.4
4491,145.1,-27.9
4492,143.2,-28.2
4493,144.6,-28.9
4494,149.6,-28.1
4496,149.3,-28.4
4497,148.8,-28.6
4498,149.8,-28.4
4612,151.6,-26
4613,151.3,-26.3
4625,151.6,-25.6
4626,151.1,-25.8
4627,150.8,-25.4
4630,151,-24.9
4715,150.5,-24.4
4716,150.8,-24.5
4717,148.9,-23.6
4718,149.6,-24.7
4719,150.2,-25
4720,148.2,-23.7
4722,147.7,-24.4
4723,148,-23.1
4724,146.8,-23.6
4736,143.1,-24.9
2584,148.6,-34.7
2585,148.5,-34.6
2588,148.3,-34.6
2590,147.9,-34.7
2640,147,-36
2641,146.9,-36
2642,146.8,-35.8
2643,146.6,-35.9
2644,147.4,-35.8
2645,146.3,-35.3
2646,146.3,-35.8
2647,146,-35.9
2650,147.4,-35.1
2651,147.5,-35.2
2652,145.8,-34
2655,147,-35.2
2656,146.8,-35.4
2658,147,-35.5
2659,146.8,-35.6
2660,147.1,-35.7
2661,147.3,-35.2
2663,147.7,-34.9
2665,146.8,-34.3
2666,147.6,-34.5
2668,147.4,-34.1
2701,147.2,-34.8
2702,147,-34.9
2712,145.9,-35.8
2721,147.7,-34
2722,148.1,-35.1
2725,147.8,-34.4
2726,148.3,-34.8
2727,148.4,-35
2729,147.9,-35.2
3726,146,-36.3
3727,146,-36.2
3728,146,-36.1
3730,146,-36.1
3000,145,-37.8
3002,145,-37.8
3003,144.9,-37.8
3005,145,-37.8
3006,145,-37.8
3008,145,-37.8
3010,145,-37.8
3050,145,-37.8
3051,144.9,-37.8
3052,144.9,-37.8
3072,145,-37.7
3073,145,-37.7
3121,145,-37.8
3141,145,-37.8
3142,145,-37.8
3143,145,-37.9
3181,145,-37.9
3182,145,-37.9
3183,145,-37.9
3184,145,-37.9
3185,145,-37.9
3204,145,-37.9
3205,145,-37.8
3206,145,-37.8
3207,144.9,-37.8
3820,145.9,-38.2
3821,145.9,-37.9
3822,146,-38.2
3823,146.1,-38.2
3824,146.2,-38.2
3825,146.3,-38
3831,146,-38
3833,146.1,-37.8
3835,146.2,-38.3
3840,146.4,-38.2
3842,146.4,-38.3
3844,146.6,-38.3
3847,146.8,-38.2
3850,147.1,-38.2
3851,147.2,-38.4
3852,147.1,-38.1
3854,146.6,-38.1
3856,146.7,-38.1
3857,146.7,-38
3858,146.6,-37.8
3859,146.9,-38
3860,146.8,-37.6
3862,147.2,-37.6
3864,147.3,-37.9
3865,147.5,-37.8
3869,146.4,-38.4
3870,146.3,-38.4
3871,146.2,-38.4
3873,146.7,-38.3
3874,146.8,-38.5
3875,147.6,-37.7
3878,147.7,-37.9
3880,147.7,-37.9
3882,147.8,-37.8
3885,148.1,-37.3
3886,148.4,-37.8
3887,148.1,-37.8
3888,148.7,-37.4
3889,148.9,-37.6
3890,149.2,-37.6
3891,149.5,-37.6
3892,149.8,-37.5
3893,147.9,-37.5
3895,147.9,-37.4
3896,147.7,-37.3
3898,147.5,-37.1
3900,147.8,-36.9
3902,147.8,-37.8
3903,147.9,-37.8
3904,147.8,-37.9
3909,148,-37.8
3921,145.4,-38.4
3922,145.2,-38.5
3923,145.3,-38.5
3945,145.7,-38.4
3946,145.7,-38.4
3950,145.8,-38.4
3951,145.8,-38.5
3953,146,-38.5
3954,145.9,-38.6
3957,146.1,-38.6
3958,146,-38.7
3966,146.4,-38.6
3967,146.5,-38.6
3971,146.7,-38.6
3979,145.6,-38.4
3987,145.7,-38.3
3988,145.8,-38.3
3990,145.5,-38.5
3991,145.5,-38.5
3992,145.5,-38.6
7248,147.1,-41.4
7249,147.2,-41.5
7250,147.1,-41.4
7277,147,-41.4
2575,150.3,-34.3
2576,150.5,-34.5
2577,150.4,-34.6
2578,150.3,-34.7
2579,150.1,-34.7
2580,149.7,-34.7
2581,149.3,-34.8
2582,148.8,-34.9
2600,149.1,-35.3
2601,149.1,-35.3
2602,149.1,-35.2
2603,149.1,-35.3
2604,149.1,-35.3
2605,149.1,-35.3
2606,149.1,-35.4
2607,149.1,-35.4
2609,149.2,-35.3
2611,148.8,-35.3
2612,149.1,-35.3
2614,149,-35.3
2615,149,-35.2
2617,149.1,-35.2
2618,149,-35.1
2619,149.2,-35.4
2620,149.3,-35.3
2621,149.5,-35.5
2622,149.8,-35.6
2623,149.8,-35.6
2626,149.2,-35.9
2628,148.8,-36.4
2630,148.4,-36.4
2631,149.3,-36.5
2632,149.2,-37
2633,148.7,-36.9
2649,148.1,-35.6
2653,148,-35.8
2720,148.4,-35.4
2730,148,-35.5
2776,150.6,-33.7
2778,150.5,-33.7
2779,150.5,-33.7
2780,150.4,-33.8
2782,150.4,-33.7
2783,150.4,-33.7
2784,150.4,-33.7
2785,150.2,-33.7
2786,150.3,-33.5
2900,149.1,-35.4
2902,149,-35.4
2903,149.1,-35.4
2904,149.1,-35.4
2905,149.1,-35.4
2906,149.1,-35.5
2911,149.1,-35.2
2912,149.1,-35.2
2913,149.1,-35.2
2914,148.9,-33.2
3725,145.9,-36.4
2629,148.8,-36
3723,146.1,-37.4
7000,147.3,-42.9
7001,147.3,-42.9
7004,147.3,-42.9
7005,147.4,-42.9
7007,147.3,-42.9
7008,147.3,-42.9
7009,147.3,-42.8
7010,147.2,-42.9
7011,147.2,-42.8
7012,147.2,-42.8
7015,147.4,-42.8
7016,147.3,-42.8
7017,147.3,-42.7
7018,147.4,-42.9
7019,147.4,-42.9
7020,147.5,-43
7021,147.5,-42.9
7022,147.4,-43
7023,147.4,-43
7024,147.5,-43
7025,147.4,-42.7
7026,147.5,-42.6
7027,147.4,-42.5
7050,147.3,-43
7052,147.3,-43
7053,147.3,-42.9
7054,147.3,-43
7055,147.3,-43
7109,146.5,-43.2
7112,147.1,-43.3
7113,147,-43.1
7116,146.9,-43.2
7117,147,-43.3
7139,145.9,-42.7
7150,147.1,-43.4
7155,147.2,-43.1
7162,147.2,-43.2
7163,147.2,-43.2
7170,147.4,-42.9
7171,147.5,-42.8
7172,147.6,-42.7
7173,147.6,-42.8
7174,147.7,-42.8
7175,147.8,-42.8
7176,147.8,-42.8
7177,147.8,-42.9
7178,147.9,-43
7179,147.9,-43
7180,147.9,-43.1
7182,147.8,-43.2
7183,147.8,-43.2
7184,147.7,-43.1
7185,147.8,-43.1
7186,147.6,-43
7187,147.8,-43.1
7190,147.8,-42.5
7321,145.4,-41
7322,145.8,-41
7325,145.6,-41.1
7330,144.7,-40.6
7331,145.3,-40.8
7467,145.5,-42.1
7468,145.4,-42.1
7469,145.2,-41.8
7470,145.5,-41.9
2648,141.9,-33.5
2669,146.7,-33.8
2680,145.9,-34.3
2681,146.1,-34.1
2700,146.3,-34.9
2703,146.4,-34.6
2705,146.4,-34.5
2706,145.9,-34.6
2707,145.8,-34.8
2710,145,-35.4
2711,144.7,-34.3
2713,145.5,-35.6
2714,145.4,-35.8
2715,143.5,-34.3
2716,145.6,-35.2
2717,142.1,-34.1
2731,144.6,-35.9
2732,144.2,-35.5
2733,144.2,-35
2734,143.4,-34.8
2735,143.4,-35.1
2736,143.4,-35
